datetime,production_nuclear,production_thermal,production_renewable,production_heat_power,production_hydro,production_pumped_hydro,consumption_total
03.10.2020 20:00:00,8431,1421,157,4717,1577,949,16811
03.10.2020 19:00:00,8418,1414,159,4663,1499,800,16438
03.10.2020 18:00:00,8410,1305,319,4222,974,644,15451
03.10.2020 17:00:00,8421,1186,1009,3894,831,321,15006
03.10.2020 16:00:00,8399,1161,1471,3781,1006,0,14842
03.10.2020 15:00:00,8422,1162,1978,3631,511,0,14664
03.10.2020 14:00:00,8443,1197,2250,3616,538,0,14574
03.10.2020 13:00:00,8458,1212,2234,3476,505,0,14329
03.10.2020 12:00:00,8456,1221,2137,3409,506,0,14402
03.10.2020 11:00:00,8456,1184,1831,3557,511,0,14703
03.10.2020 10:00:00,8465,1264,1312,3747,723,0,14929
03.10.2020 09:00:00,8470,1244,809,3723,692,0,14418
03.10.2020 08:00:00,8452,1165,368,3775,562,0,13683
03.10.2020 07:00:00,8445,1281,90,3480,274,0,12948
03.10.2020 06:00:00,8442,1201,51,3539,292,0,12456
03.10.2020 05:00:00,8460,1180,51,3373,82,0,12048
03.10.2020 04:00:00,8468,1166,39,3375,78,0,12018
03.10.2020 03:00:00,8441,1163,83,3610,90,0,12070
03.10.2020 02:00:00,8451,1151,95,3938,101,0,12325
03.10.2020 01:00:00,8455,1143,104,4197,83,0,12924
03.10.2020 00:00:00,8440,1170,77,4302,89,0,13674
02.10.2020 23:00:00,8442,1247,57,4431,684,560,14706
02.10.2020 22:00:00,8461,1246,53,4985,550,690,15644
02.10.2020 21:00:00,8454,1531,59,5574,625,870,16465
02.10.2020 20:00:00,8450,1536,98,5672,900,874,17084
02.10.2020 19:00:00,8449,1492,160,5668,1091,723,16816
02.10.2020 18:00:00,8430,1477,344,5570,663,0,15960
02.10.2020 17:00:00,8465,1376,607,4768,1200,307,15799
02.10.2020 16:00:00,8439,1465,999,4971,497,0,15590
02.10.2020 15:00:00,8438,1512,1237,4859,457,0,15467
02.10.2020 14:00:00,8452,1355,1499,4876,506,0,15586
02.10.2020 13:00:00,8436,1267,1856,4680,506,0,15254
02.10.2020 12:00:00,8445,1298,1634,4746,544,0,15523
02.10.2020 11:00:00,8467,1273,1584,4761,551,0,15819
02.10.2020 10:00:00,8481,1352,1053,4884,820,0,16118
02.10.2020 09:00:00,8455,1405,606,5303,916,0,16165
02.10.2020 08:00:00,8480,1464,239,5237,565,0,15646
02.10.2020 07:00:00,8463,1455,65,4848,726,0,14715
02.10.2020 06:00:00,8474,1129,44,4262,162,0,13169
02.10.2020 05:00:00,8448,1145,66,4198,354,0,12497
02.10.2020 04:00:00,8493,1130,70,4217,164,0,12249
02.10.2020 03:00:00,8454,1144,90,4248,228,0,12171
02.10.2020 02:00:00,8457,1093,86,4103,89,0,12455
02.10.2020 01:00:00,8483,1113,92,4251,86,0,12880
02.10.2020 00:00:00,8461,1131,109,4419,156,0,13677
01.10.2020 23:00:00,8472,1292,183,4826,505,0,14643
01.10.2020 22:00:00,8476,1347,153,5307,656,548,15813
01.10.2020 21:00:00,8455,1474,147,5624,690,869,16768
01.10.2020 20:00:00,8453,1491,170,5801,973,859,17221
01.10.2020 19:00:00,8450,1494,180,5841,813,725,16921
01.10.2020 18:00:00,8451,1497,203,5661,628,320,16170
01.10.2020 17:00:00,8439,1482,512,5034,851,0,15807
01.10.2020 16:00:00,8441,1421,848,4763,716,0,15740
01.10.2020 15:00:00,8428,1332,1243,4389,623,0,15422
01.10.2020 14:00:00,8428,1221,1268,4432,899,0,15601
01.10.2020 13:00:00,8439,1211,1540,4415,501,0,15359
01.10.2020 12:00:00,8408,1204,1599,4206,570,0,15136
01.10.2020 11:00:00,8422,1360,1437,4391,515,0,15559
01.10.2020 10:00:00,8407,1389,1192,4579,480,0,15611
01.10.2020 09:00:00,8440,1408,811,4736,846,0,15828
01.10.2020 08:00:00,8417,1293,811,4356,510,323,14914
01.10.2020 07:00:00,8418,1114,597,4443,247,0,14192
01.10.2020 06:00:00,8441,1051,434,4090,76,0,12727
